,tr,TrialType,ChoicePred,ChoiceProb,ChoiceUtil,util_gamble,util_safe,p_gamble,p_safe,SafeBet,HighBet,LowBet
97,97,loss,gamble,0.8925815341244188,-0.48896638427146427,-0.48896638427146427,-0.9124435365554808,0.8925815341244188,0.10741846587558126,-0.4,0.0,-0.8
98,98,gain,safe,0.8946305733326052,0.9330329915368074,0.5052453232613597,0.9330329915368074,0.10536942666739472,0.8946305733326052,0.5,1.11,0.0
99,99,mix,gamble,0.47536544624251786,-0.01972361267794487,-0.01972361267794487,0.0,0.47536544624251786,0.5246345537574821,0.0,0.53,-0.8
100,100,gain,safe,0.882089065533405,0.8513399225207846,0.4488672254350612,0.8513399225207846,0.11791093446659494,0.882089065533405,0.2,0.34,0.0
101,101,mix,gamble,0.4619322322766861,-0.030513263520261624,-0.030513263520261624,0.0,0.4619322322766861,0.5380677677233139,0.0,0.42,-0.8
102,102,mix,safe,0.5,0.0,0.0,0.0,0.5,0.5,0.0,1.1,-1.1
103,103,mix,safe,0.5567417223932722,0.0,-0.045589763743367095,0.0,0.4432582776067278,0.5567417223932722,0.0,0.6,-1.5
104,104,mix,gamble,0.4267033939374511,-0.0590628151624919,-0.0590628151624919,0.0,0.4267033939374511,0.573296606062549,0.0,0.45,-1.5
105,105,loss,safe,0.12174040037718185,-0.8865681505652133,-0.49135788863808577,-0.8865681505652133,0.8782595996228182,0.12174040037718185,-0.3,0.0,-0.84
106,106,mix,gamble,0.4141678734449455,-0.06935237840626296,-0.06935237840626296,0.0,0.4141678734449455,0.5858321265550545,0.0,0.1,-0.5
107,107,loss,gamble,0.8822398213871445,-0.5302702408070094,-0.5302702408070094,-0.9330329915368074,0.8822398213871445,0.11776017861285548,-0.5,0.0,-1.8
108,108,mix,gamble,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.3,-0.3
109,109,gain,safe,0.8778929301212027,0.9330329915368074,0.5385077201521816,0.9330329915368074,0.12210706987879731,0.8778929301212027,0.5,2.1,0.0
110,110,mix,safe,0.5114565004065723,0.0,-0.009166804757874292,0.0,0.4885434995934277,0.5114565004065723,0.0,0.41,-0.5
111,111,gain,safe,0.8983185660060888,0.9502002165056764,0.5144642112724064,0.9502002165056764,0.10168143399391112,0.8983185660060888,0.6,1.33,0.0
112,112,gain,safe,0.9006978511434116,0.9502002165056764,0.5091996880735121,0.9502002165056764,0.09930214885658836,0.9006978511434116,0.6,1.2,0.0
113,113,mix,gamble,0.4599374549786637,-0.0321188888327536,-0.0321188888327536,0.0,0.4599374549786637,0.5400625450213362,0.0,0.57,-1.1
114,114,mix,gamble,0.5116076510697533,0.009287789647869693,0.009287789647869693,0.0,0.5116076510697533,0.4883923489302466,0.0,1.32,-1.1
115,115,loss,gamble,0.8775439080881335,-0.5185686446683241,-0.5185686446683241,-0.9124435365554808,0.8775439080881335,0.12245609191186647,-0.4,0.0,-1.44
116,116,mix,gamble,0.47353458699797024,-0.021192136350330293,-0.021192136350330293,0.0,0.47353458699797024,0.5264654130020298,0.0,0.99,-1.5
117,117,gain,gamble,0.11570730298144084,0.5056986643807828,0.5056986643807828,0.9124435365554808,0.11570730298144084,0.8842926970185592,0.4,1.12,0.0
118,118,mix,gamble,0.4762837177531146,-0.018987273845177344,-0.018987273845177344,0.0,0.4762837177531146,0.5237162822468854,0.0,0.33,-0.5
119,119,loss,gamble,0.8815295553197816,-0.48516914811917244,-0.48516914811917244,-0.8865681505652133,0.8815295553197816,0.1184704446802184,-0.3,0.0,-0.74
120,120,loss,gamble,0.8725968445623172,-0.4665164957684037,-0.4665164957684037,-0.8513399225207846,0.8725968445623172,0.12740315543768269,-0.2,0.0,-0.5
121,121,gain,safe,0.887427463556489,0.9124435365554808,0.499497735645875,0.9124435365554808,0.11257253644351102,0.887427463556489,0.4,0.99,0.0
122,122,loss,gamble,0.8817305955368615,-0.548415926253338,-0.548415926253338,-0.9502002165056764,0.8817305955368615,0.11826940446313844,-0.6,0.0,-2.52
123,123,loss,gamble,0.8727248879266306,-0.5479791131926086,-0.5479791131926086,-0.9330329915368074,0.8727248879266306,0.12727511207336933,-0.5,0.0,-2.5
124,124,gain,safe,0.86640974714267,0.8513399225207846,0.4774237935204091,0.8513399225207846,0.13359025285732998,0.86640974714267,0.2,0.63,0.0
125,125,gain,safe,0.8946995451258855,0.9124435365554808,0.48450949271127886,0.9124435365554808,0.10530045487411457,0.8946995451258855,0.4,0.73,0.0
126,126,mix,safe,0.5411068545909615,0.0,-0.03295987763297292,0.0,0.45889314540903847,0.5411068545909615,0.0,0.78,-1.5
127,127,mix,safe,0.5337081324742124,0.0,-0.027007471581670106,0.0,0.46629186752578755,0.5337081324742124,0.0,0.16,-0.3
128,128,loss,gamble,0.882089065533405,-0.4488672254350612,-0.4488672254350612,-0.8513399225207846,0.882089065533405,0.11791093446659497,-0.2,0.0,-0.34
129,129,gain,safe,0.858137999729666,0.8513399225207846,0.49135788863808577,0.8513399225207846,0.14186200027033402,0.858137999729666,0.2,0.84,0.0
130,130,mix,safe,0.5508814314129141,0.0,-0.0408465345080114,0.0,0.4491185685870859,0.5508814314129141,0.0,0.2,-0.5
